You entered a buffer length of 100,x_100,,y_100_sideways,,z_100_sideways,,,,,,,,,
Average X value:,0.055515, Average Y value:,0.98385, Average Z value:,0.248847, Max X values:,0.662089,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.662089,-0.801257
Average X value:,0.05758, Average Y value:,0.984298, Average Z value:,0.24836, Max X values:,0.662089,-0.801257, Max Y values:,1.117927,0.919429, Max Z values:,0.662089,-0.801257
Average X value:,0.057961, Average Y value:,0.983258, Average Z value:,0.247245, Max X values:,0.662089,-0.801257, Max Y values:,1.117927,0.916255, Max Z values:,0.662089,-0.801257
Average X value:,0.056109, Average Y value:,0.983562, Average Z value:,0.246924, Max X values:,0.662089,-0.801257, Max Y values:,1.117927,0.916255, Max Z values:,0.662089,-0.801257
Average X value:,0.053075, Average Y value:,0.983443, Average Z value:,0.246392, Max X values:,0.662089,-0.801257, Max Y values:,1.117927,0.916255, Max Z values:,0.662089,-0.801257
Average X value:,0.049344, Average Y value:,0.982809, Average Z value:,0.246194, Max X values:,0.662089,-0.801257, Max Y values:,1.117927,0.899286, Max Z values:,0.662089,-0.801257
Average X value:,0.04498, Average Y value:,0.984208, Average Z value:,0.246211, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.899286, Max Z values:,0.662089,-0.801257
Average X value:,0.040229, Average Y value:,0.98398, Average Z value:,0.245927, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.899286, Max Z values:,0.662089,-0.801257
Average X value:,0.037208, Average Y value:,0.984093, Average Z value:,0.246039, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.899286, Max Z values:,0.662089,-0.801257
Average X value:,0.032335, Average Y value:,0.984297, Average Z value:,0.246078, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.899286, Max Z values:,0.662089,-0.801257
Average X value:,0.025902, Average Y value:,0.983825, Average Z value:,0.246173, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.899286, Max Z values:,0.662089,-0.801257
Average X value:,0.018664, Average Y value:,0.984213, Average Z value:,0.246192, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.899286, Max Z values:,0.662089,-0.801257
Average X value:,0.010256, Average Y value:,0.982641, Average Z value:,0.24631, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,0.001052, Average Y value:,0.982412, Average Z value:,0.246398, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,-0.008722, Average Y value:,0.982412, Average Z value:,0.246869, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,-0.018611, Average Y value:,0.981939, Average Z value:,0.247486, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,-0.028416, Average Y value:,0.982437, Average Z value:,0.248741, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,-0.035289, Average Y value:,0.981801, Average Z value:,0.248494, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
Average X value:,-0.041574, Average Y value:,0.981785, Average Z value:,0.248647, Max X values:,0.662089,-0.801257, Max Y values:,1.11988,0.848624, Max Z values:,0.662089,-0.801257
