You entered a buffer length of 100,x_100_up,,y_100_up,,z_100_up,,,,,,,,,
Average X value:,0.026438, Average Y value:,0.964967, Average Z value:,0.202468, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.025545, Average Y value:,0.965102, Average Z value:,0.202322, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.025664, Average Y value:,0.966022, Average Z value:,0.202625, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.026203, Average Y value:,0.967597, Average Z value:,0.203168, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.026714, Average Y value:,0.969311, Average Z value:,0.203767, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.02688, Average Y value:,0.971047, Average Z value:,0.204146, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.026358, Average Y value:,0.972675, Average Z value:,0.20456, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.025501, Average Y value:,0.974681, Average Z value:,0.204601, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.025319, Average Y value:,0.977789, Average Z value:,0.204497, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.025533, Average Y value:,0.981813, Average Z value:,0.204698, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.02602, Average Y value:,0.985008, Average Z value:,0.204752, Max X values:,0.265824,-0.182934, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.182934
Average X value:,0.024629, Average Y value:,0.988239, Average Z value:,0.206292, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
Average X value:,0.02325, Average Y value:,0.991826, Average Z value:,0.207091, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
Average X value:,0.023263, Average Y value:,0.995781, Average Z value:,0.206951, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
Average X value:,0.023106, Average Y value:,1.000281, Average Z value:,0.207402, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
Average X value:,0.023562, Average Y value:,1.004162, Average Z value:,0.206364, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
Average X value:,0.024013, Average Y value:,1.007229, Average Z value:,0.205544, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
Average X value:,0.023645, Average Y value:,1.009063, Average Z value:,0.204837, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
Average X value:,0.022851, Average Y value:,1.010119, Average Z value:,0.204396, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
Average X value:,0.023347, Average Y value:,1.011774, Average Z value:,0.203794, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
Average X value:,0.024545, Average Y value:,1.014913, Average Z value:,0.204103, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
Average X value:,0.024832, Average Y value:,1.017707, Average Z value:,0.203474, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
Average X value:,0.023202, Average Y value:,1.01886, Average Z value:,0.202652, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
Average X value:,0.023345, Average Y value:,1.020927, Average Z value:,0.20168, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
Average X value:,0.024712, Average Y value:,1.023626, Average Z value:,0.199847, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
Average X value:,0.024947, Average Y value:,1.02592, Average Z value:,0.198299, Max X values:,0.265824,-0.197949, Max Y values:,2.267045,-0.020448, Max Z values:,0.265824,-0.197949
