time,src,dest,bytes,next,unack,cwnd,ssthresh,send window,rtt,rcw window
62.40701043,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a5146,0xee3a0216,14,11,262656,547685,29312
62.61323666,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a5c96,0xee3a0d66,14,11,262656,542173,29312
62.79076056,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a623e,0xee3a130e,14,11,262656,542142,29312
62.80275793,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a67e6,0xee3a18b6,14,11,262656,538835,29312
62.81473269,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a6d8e,0xee3a1e5e,14,11,262656,535940,29312
62.82671848,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a7336,0xee3a2406,14,11,262656,533408,29312
62.83878329,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a7e86,0xee3a29ae,15,11,262656,532691,29312
62.85074449,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a842e,0xee3a2f56,15,11,262656,532070,29312
62.86277544,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a89d6,0xee3a34fe,15,11,262656,531513,29312
62.87456971,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a8f7e,0xee3a3aa6,15,11,262656,531043,29312
62.88672186,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a9526,0xee3a404e,15,11,262656,530617,29312
62.89865879,10.10.1.2:59230,10.10.2.1:5001,32,0xee3a9ace,0xee3a45f6,15,11,262656,530247,29312
62.91071016,10.10.1.2:59230,10.10.2.1:5001,32,0xee3aa076,0xee3a4b9e,15,11,262656,528420,29312
62.92268672,10.10.1.2:59230,10.10.2.1:5001,32,0xee3aa61e,0xee3a5146,15,11,262656,528328,29312
62.93468235,10.10.1.2:59230,10.10.2.1:5001,32,0xee3aabc6,0xee3a56ee,15,11,262656,526746,29312
63.1505286,10.10.1.2:59230,10.10.2.1:5001,32,0xee3ab16e,0xee3a5c96,15,11,262656,526861,29312
63.34246916,10.10.1.2:59230,10.10.2.1:5001,32,0xee3ab716,0xee3a623e,15,11,262656,528165,29312
63.35446213,10.10.1.2:59230,10.10.2.1:5001,32,0xee3abcbe,0xee3a67e6,15,11,262656,531108,29312
63.36638755,10.10.1.2:59230,10.10.2.1:5001,32,0xee3ac266,0xee3a6d8e,15,11,262656,533681,29312
63.37840689,10.10.1.2:59230,10.10.2.1:5001,32,0xee3ac80e,0xee3a7336,15,11,262656,535928,29312
63.39023457,10.10.1.2:59230,10.10.2.1:5001,32,0xee3acdb6,0xee3a78de,15,11,262656,537897,29312
63.40236303,10.10.1.2:59230,10.10.2.1:5001,32,0xee3ad906,0xee3a7e86,16,12,262656,541098,29312
63.41442083,10.10.1.2:59230,10.10.2.1:5001,32,0xee3adeae,0xee3a842e,16,12,262656,543907,29312
63.4263921,10.10.1.2:59230,10.10.2.1:5001,32,0xee3ae456,0xee3a89d6,16,12,262656,546378,29312
63.43839789,10.10.1.2:59230,10.10.2.1:5001,32,0xee3ae9fe,0xee3a8f7e,16,12,262656,548532,29312
63.45035315,10.10.1.2:59230,10.10.2.1:5001,32,0xee3aefa6,0xee3a9526,16,12,262656,550444,29312
63.46234615,10.10.1.2:59230,10.10.2.1:5001,32,0xee3af54e,0xee3a9ace,16,12,262656,552092,29312
63.4743552,10.10.1.2:59230,10.10.2.1:5001,32,0xee3afaf6,0xee3aa076,16,12,262656,553541,29312
63.4863916,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b009e,0xee3aa61e,16,12,262656,554803,29312
63.49836798,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b0646,0xee3aabc6,16,12,262656,555915,29312
63.72615975,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b0bee,0xee3ab16e,16,12,262656,556886,29312
63.91804328,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b1196,0xee3ab716,16,12,262656,559228,29312
63.92998908,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b173e,0xee3abcbe,16,12,262656,561271,29312
63.94192674,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b1ce6,0xee3ac266,16,12,262656,563052,29312
63.96600163,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b228e,0xee3ac80e,16,12,262656,564612,29312
63.97773256,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b2836,0xee3acdb6,16,12,262656,567484,29312
63.98963904,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b2dde,0xee3ad35e,16,12,262656,569986,29312
64.00156636,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b392e,0xee3ad906,17,12,262656,573663,29312
64.01378387,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b3ed6,0xee3adeae,17,12,262656,576855,29312
64.02590526,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b447e,0xee3ae456,17,12,262656,579667,29312
64.03790304,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b4a26,0xee3ae9fe,17,12,262656,582148,29312
64.04987498,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b4fce,0xee3aefa6,17,12,262656,584316,29312
64.06185133,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b5576,0xee3af54e,17,12,262656,586215,29312
64.07389441,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b5b1e,0xee3afaf6,17,12,262656,587876,29312
64.08591409,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b60c6,0xee3b009e,17,12,262656,589333,29312
64.09788355,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b666e,0xee3b0646,17,12,262656,590606,29312
64.33777717,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b6c16,0xee3b0bee,17,12,262656,591719,29312
64.5296668,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b71be,0xee3b1196,17,12,262656,594206,29312
64.5416196,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b7766,0xee3b173e,17,12,262656,596382,29312
64.55365371,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b7d0e,0xee3b1ce6,17,12,262656,598287,29312
64.57768061,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b82b6,0xee3b228e,17,12,262656,599967,29312
64.58960304,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b885e,0xee3b2836,17,12,262656,601430,29312
64.60165359,10.10.1.2:59230,10.10.2.1:5001,32,0xee3b8e06,0xee3b2dde,17,12,262656,602735,29312
